Step,TotEng,Hs
1116000.0000000000,-6475.0004900000004,-6471.9780300000002
1120500.0000000000,-6474.9951199999996,-6471.9750999999997
1125000.0000000000,-6475.2304700000004,-6471.9487300000001
1129500.0000000000,-6475.4677700000002,-6471.9746100000002
1134000.0000000000,-6475.0644499999999,-6471.9423800000004
1138500.0000000000,-6475.1333000000004,-6471.9575199999999
1143000.0000000000,-6475.0400399999999,-6471.9819299999999
1147500.0000000000,-6475.4213900000004,-6472.0151400000004
1152000.0000000000,-6474.9834000000001,-6472.0102500000003
1156500.0000000000,-6474.9814500000002,-6471.9819299999999
1161000.0000000000,-6475.0698199999997,-6471.9716799999997
1165500.0000000000,-6474.9609399999999,-6471.9555700000001
1170000.0000000000,-6475.2143599999999,-6471.9985399999996
1174500.0000000000,-6475.3891599999997,-6472.0102500000003
1179000.0000000000,-6475.1298800000004,-6471.9516599999997
1183500.0000000000,-6475.2065400000001,-6472.0029299999997
1188000.0000000000,-6475.2089800000003,-6471.9570299999996
1192500.0000000000,-6475.1728499999999,-6471.9682599999996
1197000.0000000000,-6475.0761700000003,-6471.9477500000003
1201500.0000000000,-6474.8935499999998,-6471.9399400000002
1206000.0000000000,-6474.9668000000001,-6471.9267600000003
1210500.0000000000,-6475.0976600000004,-6471.9624000000003
1215000.0000000000,-6474.8867200000004,-6471.9262699999999
1219500.0000000000,-6475.2206999999999,-6471.9472699999997
1224000.0000000000,-6475.2050799999997,-6471.9985399999996
1228500.0000000000,-6474.9213900000004,-6471.9706999999999
1233000.0000000000,-6475.3271500000001,-6471.9985399999996
1237500.0000000000,-6475.3833000000004,-6471.9985399999996
1242000.0000000000,-6475.1084000000001,-6471.9755900000000
1246500.0000000000,-6475.2983400000003,-6471.9619100000000
1251000.0000000000,-6474.8754900000004,-6471.9414100000004
1255500.0000000000,-6474.9272499999997,-6471.9868200000001
1260000.0000000000,-6475.3818400000000,-6471.9379900000004
1264500.0000000000,-6475.3178699999999,-6471.9418900000001
1269000.0000000000,-6474.7158200000003,-6471.9550799999997
1273500.0000000000,-6475.0127000000002,-6471.8979499999996
1278000.0000000000,-6475.0356400000001,-6471.9311500000003
1282500.0000000000,-6475.0747099999999,-6471.9462899999999
1287000.0000000000,-6475.1337899999999,-6471.9912100000001
1291500.0000000000,-6474.8666999999996,-6472.0312500000000
1296000.0000000000,-6475.5732399999997,-6472.0253899999998
1300500.0000000000,-6475.3071300000001,-6472.0268599999999
1305000.0000000000,-6475.3041999999996,-6471.9799800000001
