,Step,H_nhc,H_nhc1,H_nhc2
0,0,-6474.83301,0.0,0.0
300,9000,-6474.61426,-158.604645,322.256104
600,18000,-6474.15967,-109.960968,269.070984
900,27000,-6473.3173799999995,-469.06008899999995,521.810608
1200,36000,-6471.61182,-759.557861,992.8698730000001
1500,45000,-6470.20703,-1188.34436,1356.83618
1800,54000,-6469.76709,-1249.8292199999999,1514.3783
2100,63000,-6469.3901399999995,-1528.4493400000001,1710.15515
2400,72000,-6469.00537,-1611.0896,1782.3205600000001
2700,81000,-6467.98047,-1804.1827399999997,2078.29419
3000,90000,-6467.9751,-1897.7312,2128.36548
3300,99000,-6466.68359,-2358.11914,2456.55103
3600,108000,-6468.446779999999,-1861.38733,2046.8313
3900,117000,-6466.78564,-2067.4209,2290.42822
4200,126000,-6467.66992,-2032.60999,2230.78955
4500,135000,-6467.81104,-2075.80591,2239.10767
4800,144000,-6465.53662,-2747.11548,2849.80566
5100,153000,-6465.26807,-2927.6521,3077.67725
5400,162000,-6464.59814,-2981.16675,3196.10742
5700,171000,-6463.3388700000005,-3356.47314,3528.01465
6000,180000,-6463.23438,-3613.5969200000004,3807.24243
6300,189000,-6463.23975,-3563.10693,3757.15405
6600,198000,-6464.53125,-3256.00269,3350.92871
6900,207000,-6463.24365,-3343.60815,3513.54541
7200,216000,-6463.17676,-3555.7934600000003,3692.8430200000003
7500,225000,-6461.91748,-3776.3840299999997,3999.49316
7800,234000,-6462.00684,-3779.85229,4025.5732399999997
8100,243000,-6461.25195,-4091.0051299999996,4273.83252
8400,252000,-6460.81934,-4291.2348600000005,4468.874510000001
8700,261000,-6461.413570000001,-4012.33691,4202.12939
9000,270000,-6461.67871,-4037.68042,4162.31641
9300,279000,-6460.26367,-4328.08594,4572.59521
9600,288000,-6460.478029999999,-4453.63525,4571.7334
9900,297000,-6460.65918,-4129.959470000001,4393.31396
10200,306000,-6460.896,-4231.46338,4401.15967
10500,315000,-6461.43506,-3940.2395,4194.43604
10800,324000,-6461.333979999999,-4023.30615,4241.30859
11100,333000,-6461.92725,-3870.7133799999997,4039.4126
11400,342000,-6460.87305,-4355.88916,4443.37842
11700,351000,-6459.78418,-4406.67529,4650.57422
12000,360000,-6460.23145,-4396.56104,4582.66748
12300,369000,-6459.9638700000005,-4569.6792,4722.18213
12600,378000,-6457.788570000001,-5202.11621,5319.22119
12900,387000,-6457.16406,-5227.9013700000005,5446.13135
13200,396000,-6456.45557,-5416.76074,5602.38525
13500,405000,-6455.67285,-5737.00244,5960.9873
13800,414000,-6455.22461,-6019.165529999999,6155.80615
14100,423000,-6453.08154,-6515.78125,6711.73535
14400,432000,-6453.0463899999995,-6691.694820000001,6880.644040000001
14700,441000,-6452.75,-6592.44873,6852.587890000001
15000,450000,-6453.55908,-6543.2963899999995,6754.20215
300,459000,-6453.36719,-6560.96191,6754.38965
600,468000,-6453.16211,-6529.14844,6733.75195
900,477000,-6452.711429999999,-6776.4624,6914.06152
1200,486000,-6452.22266,-6860.82617,7045.791990000001
1500,495000,-6452.134279999999,-6870.6626,7002.443359999999
1800,504000,-6451.59668,-7219.42236,7304.522459999999
2100,513000,-6451.354,-7100.82959,7292.25244
2400,522000,-6451.53564,-7130.10547,7282.78027
2700,531000,-6451.66455,-7094.45166,7251.035159999999
3000,540000,-6452.01953,-7033.006840000001,7153.73438
3300,549000,-6451.75781,-7054.319820000001,7271.94092
3600,558000,-6451.40088,-7231.07275,7391.630859999999
3900,567000,-6450.86816,-7268.33838,7532.0708
4200,576000,-6450.34717,-7324.07959,7561.836909999999
4500,585000,-6451.19336,-7261.803709999999,7426.26611
4800,594000,-6449.771970000001,-7736.98389,7863.46875
5100,603000,-6449.51758,-7594.24902,7819.993159999999
5400,612000,-6449.34033,-7740.28369,8023.972659999999
5700,621000,-6448.384770000001,-8223.00879,8383.52051
6000,630000,-6447.0791,-8468.72461,8682.499020000001
6300,639000,-6445.819820000001,-8898.46484,9113.53516
6600,648000,-6445.23779,-9055.70801,9280.86914
6900,657000,-6444.9223600000005,-9101.39746,9242.52148
7200,666000,-6445.23242,-8992.0293,9139.9043
7500,675000,-6446.04541,-8737.29883,9008.42383
7800,684000,-6446.60645,-8644.18945,8833.6084
8100,693000,-6445.37646,-9017.30371,9143.19531
8400,702000,-6443.62402,-9409.87988,9637.92969
8700,711000,-6445.228029999999,-9118.35645,9289.23242
9000,720000,-6445.55469,-9024.78516,9225.86621
9300,729000,-6444.805179999999,-9260.07715,9378.59668
9600,738000,-6443.51709,-9482.08594,9687.76855
9900,747000,-6442.00684,-10031.4414,10201.9219
10200,756000,-6441.99463,-9852.05957,10048.0039
10500,765000,-6443.13672,-9781.52051,9898.2959
10800,774000,-6444.13672,-9401.43164,9576.54004
11100,783000,-6442.63525,-9919.94043,10105.8125
11400,792000,-6442.240720000001,-9843.58496,10106.3242
11700,801000,-6441.77734,-10145.8311,10369.6211
12000,810000,-6441.55664,-10235.5693,10425.2832
12300,819000,-6441.9638700000005,-10067.9639,10222.0811
12600,828000,-6441.322270000001,-10412.0,10479.9395
12900,837000,-6440.428220000001,-10423.0352,10640.5195
13200,846000,-6440.75342,-10403.8359,10556.4766
13500,855000,-6440.90625,-10470.0977,10563.3066
13800,864000,-6439.538570000001,-10739.2715,10943.5537
14100,873000,-6439.33691,-10831.3057,10999.9941
14400,882000,-6438.781739999999,-10976.4131,11179.5244
14700,891000,-6437.7348600000005,-11347.8672,11493.7568
15000,900000,-6438.4126,-11125.9326,11364.96
15300,909000,-6437.0459,-11412.8564,11691.7207
15600,918000,-6436.57129,-11702.2969,11920.9912
15900,927000,-6436.65283,-11689.9668,11889.7959
16200,936000,-6435.5361299999995,-12014.1055,12221.8486
16500,945000,-6434.94531,-12121.7402,12334.6025
16800,954000,-6434.021479999999,-12471.5898,12609.6494
17100,963000,-6433.28662,-12561.2725,12848.0977
17400,972000,-6434.96973,-12382.2891,12518.2266
17700,981000,-6433.36377,-12607.4023,12848.6152
18000,990000,-6432.16504,-13094.4424,13293.3359
18300,999000,-6432.0776399999995,-13031.4209,13294.3564
18600,1008000,-6430.584470000001,-13364.5127,13559.585
18900,1017000,-6431.584470000001,-13287.5137,13444.2529
19200,1026000,-6431.78564,-13273.2734,13449.2002
19500,1035000,-6430.77979,-13576.2422,13817.8936
19800,1044000,-6431.45557,-13392.6055,13552.1797
20100,1053000,-6430.54443,-13592.5088,13752.0801
20400,1062000,-6429.571779999999,-14045.6123,14149.9355
20700,1071000,-6428.68555,-14160.2949,14345.1611
21000,1080000,-6427.42676,-14649.8828,14800.6152
21300,1089000,-6426.92676,-14665.1729,14909.1396
21600,1098000,-6426.0048799999995,-14802.4492,15087.0605
21900,1107000,-6424.92285,-15359.1396,15491.6689
22200,1116000,-6424.15381,-15582.792,15805.1689
22500,1125000,-6422.896479999999,-15806.2324,16025.2051
22800,1134000,-6422.13574,-16183.5117,16360.2441
23100,1143000,-6420.44922,-16587.3164,16825.8301
23400,1152000,-6419.57324,-16881.9238,17111.2324
23700,1161000,-6419.40723,-17052.7148,17232.2012
24000,1170000,-6419.3999,-17078.6934,17281.3379
24300,1179000,-6418.72412,-17127.9316,17342.0117
24600,1188000,-6418.155760000001,-17373.3691,17660.4863
24900,1197000,-6417.8388700000005,-17484.9199,17645.1816
25200,1206000,-6416.447270000001,-17775.498,18082.5977
25500,1215000,-6416.06689,-17797.5176,18012.375
