Step,TotEng,Hs
900000.00000000000,-6474.7797899999996,-6474.1127900000001
909000.00000000000,-6474.9540999999999,-6474.1113299999997
918000.00000000000,-6474.8427700000002,-6474.1186500000003
927000.00000000000,-6474.8525399999999,-6474.1171899999999
936000.00000000000,-6474.8232399999997,-6474.1122999999998
945000.00000000000,-6474.9028300000000,-6474.1118200000001
954000.00000000000,-6474.8979499999996,-6474.1113299999997
963000.00000000000,-6474.9155300000002,-6474.1206099999999
972000.00000000000,-6474.8710899999996,-6474.1118200000001
981000.00000000000,-6475.0263699999996,-6474.1176800000003
990000.00000000000,-6474.8496100000002,-6474.1196300000001
999000.00000000000,-6474.9150399999999,-6474.1171899999999
1008000.0000000000,-6475.0087899999999,-6474.1186500000003
1017000.0000000000,-6474.8637699999999,-6474.1142600000003
1026000.0000000000,-6474.8867200000004,-6474.1201199999996
1035000.0000000000,-6474.9199200000003,-6474.1196300000001
1044000.0000000000,-6474.8554700000004,-6474.1186500000003
1053000.0000000000,-6474.8261700000003,-6474.1181600000000
1062000.0000000000,-6474.8842800000002,-6474.1176800000003
1071000.0000000000,-6474.9194299999999,-6474.1147499999997
1080000.0000000000,-6475.0127000000002,-6474.1206099999999
1089000.0000000000,-6474.8935499999998,-6474.1142600000003
1098000.0000000000,-6474.8959999999997,-6474.1122999999998
1107000.0000000000,-6474.9169899999997,-6474.1113299999997
1116000.0000000000,-6474.8774400000002,-6474.1181600000000
1125000.0000000000,-6474.9497099999999,-6474.1127900000001
1134000.0000000000,-6474.8286099999996,-6474.1118200000001
1143000.0000000000,-6474.9150399999999,-6474.1181600000000
1152000.0000000000,-6474.9995099999996,-6474.1157199999998
1161000.0000000000,-6474.9838900000004,-6474.1142600000003
1170000.0000000000,-6474.9375000000000,-6474.1098599999996
1179000.0000000000,-6474.9096700000000,-6474.1191399999998
1188000.0000000000,-6474.9169899999997,-6474.1127900000001
1197000.0000000000,-6474.9247999999998,-6474.1201199999996
1206000.0000000000,-6474.9877900000001,-6474.1157199999998
