,Step,H_nhc,H_nhc1,H_nhc2
20700,714000,-6219.66064,-34272.0156,34661.5117
21000,720000,-6217.3701200000005,-34496.9375,34967.582
21300,726000,-6217.48096,-34725.043,35180.2617
21600,732000,-6214.055179999999,-34989.0352,35465.7695
21900,738000,-6208.64502,-35530.8164,36034.2734
22200,744000,-6207.20459,-36018.3203,36407.2305
22500,750000,-6206.291020000001,-35928.668,36418.0977
22800,756000,-6204.4624,-36396.3477,36825.1641
23100,762000,-6205.21045,-36242.4609,36605.9102
23400,768000,-6203.26123,-36570.3672,36956.4414
23700,774000,-6201.87793,-36789.582,37190.707
24000,780000,-6198.41748,-37117.9531,37535.6562
24300,786000,-6195.38965,-37523.4375,37967.6328
24600,792000,-6195.43311,-37640.0156,38112.8867
24900,798000,-6192.553220000001,-37912.1641,38336.2227
25200,804000,-6189.3042,-38318.4844,38791.1758
25500,810000,-6186.1416,-38755.4219,39227.9922
25800,816000,-6186.052729999999,-38859.9648,39258.8672
26100,822000,-6184.740229999999,-39051.5078,39432.4062
26400,828000,-6179.56348,-39614.7734,40082.5234
26700,834000,-6177.5473600000005,-39908.4961,40421.9766
27000,840000,-6176.072270000001,-40237.0312,40653.7188
27300,846000,-6177.57959,-40093.8438,40478.6914
27600,852000,-6175.1499,-40209.1133,40698.0781
27900,858000,-6174.023929999999,-40432.0273,40870.3594
28200,864000,-6171.915529999999,-40514.6367,41086.9062
28500,870000,-6169.250489999999,-40969.4023,41427.1328
28800,876000,-6169.06445,-41154.8516,41538.082
29100,882000,-6168.12891,-41218.6836,41697.6836
29400,888000,-6168.2627,-41271.5,41723.4102
29700,894000,-6165.65234,-41490.9062,41950.4805
30000,900000,-6165.56348,-41607.4141,42122.4023
30300,906000,-6166.72412,-41510.6055,41925.4883
30600,912000,-6163.259770000001,-41923.375,42419.2734
30900,918000,-6161.34033,-42013.918,42510.9609
31200,924000,-6161.88037,-42250.7422,42646.0391
31500,930000,-6157.6499,-42568.793,43080.0352
31800,936000,-6154.72461,-42899.2734,43457.6602
32100,942000,-6153.43213,-43115.2773,43596.8945
32400,948000,-6153.1513700000005,-43265.9414,43747.0547
32700,954000,-6148.18115,-43873.6406,44310.7031
33000,960000,-6145.52979,-44186.5859,44784.3711
33300,966000,-6142.0957,-44522.2188,45160.3516
33600,972000,-6141.55127,-44756.1758,45268.5156
33900,978000,-6141.37939,-44839.6641,45359.543
34200,984000,-6141.91016,-44862.8438,45314.668
34500,990000,-6141.291020000001,-44792.0,45303.5391
34800,996000,-6141.19092,-44923.9883,45466.9023
35100,1002000,-6141.08057,-45061.2812,45538.7734
35400,1008000,-6138.86914,-45082.0469,45654.1992
35700,1014000,-6138.898929999999,-45121.6875,45662.2422
36000,1020000,-6137.93115,-45271.668,45808.9219
36300,1026000,-6138.521970000001,-45202.5156,45708.3125
36600,1032000,-6135.39258,-45840.1406,46276.7617
36900,1038000,-6131.74561,-46074.4414,46598.543
37200,1044000,-6127.88135,-46633.0312,47195.9805
37500,1050000,-6126.166020000001,-47035.1758,47471.4062
37800,1056000,-6126.12305,-46767.3203,47386.1172
38100,1062000,-6127.134279999999,-47015.9141,47395.2305
38400,1068000,-6125.06934,-47046.707,47535.8164
38700,1074000,-6122.14258,-47501.1172,48023.3359
39000,1080000,-6118.523929999999,-47824.0039,48428.6797
39300,1086000,-6117.87598,-48003.2969,48492.1992
39600,1092000,-6116.94287,-48073.1055,48690.1719
39900,1098000,-6119.41211,-47919.2539,48389.5586
40200,1104000,-6116.47559,-48081.1992,48676.0039
40500,1110000,-6117.97266,-48065.5547,48542.043
40800,1116000,-6117.40332,-48030.6133,48612.7734
41100,1122000,-6116.91064,-48250.2617,48760.875
41400,1128000,-6114.38184,-48398.6641,48983.582
41700,1134000,-6111.60938,-48855.1367,49397.2656
42000,1140000,-6109.50586,-48992.5312,49622.9453
42300,1146000,-6110.23926,-49112.8203,49593.8281
42600,1152000,-6109.52441,-49293.7344,49813.3906
42900,1158000,-6106.38184,-49809.7695,50250.2656
43200,1164000,-6101.97314,-49933.9805,50546.6094
43500,1170000,-6104.958979999999,-49914.0508,50413.2695
43800,1176000,-6100.86963,-50231.8477,50803.2422
44100,1182000,-6102.60938,-50148.6641,50719.8984
44400,1188000,-6101.19189,-50290.7734,50772.293
44700,1194000,-6100.52246,-50225.3711,50757.2227
45000,1200000,-6101.66748,-50228.8398,50702.1602
45300,1206000,-6102.43359,-50066.6211,50563.4414
45600,1212000,-6099.87598,-50469.293,51037.4453
45900,1218000,-6095.9423799999995,-50835.8398,51480.4336
46200,1224000,-6097.04395,-50851.4414,51375.4336
46500,1230000,-6098.08301,-50824.9062,51315.668
46800,1236000,-6098.20508,-50674.7617,51193.7383
47100,1242000,-6098.49121,-50578.5,51107.0898
47400,1248000,-6100.23193,-50465.4766,50978.2461
47700,1254000,-6099.22656,-50418.5742,51040.5938
48000,1260000,-6097.25684,-50722.9453,51276.5078
48300,1266000,-6097.055179999999,-50674.0781,51264.3633
48600,1272000,-6096.84375,-50676.9414,51318.75
48900,1278000,-6096.38965,-50811.9375,51426.293
49200,1284000,-6095.42676,-50889.1094,51508.9961
49500,1290000,-6096.5376,-50769.5391,51385.918
49800,1296000,-6096.78467,-50910.2852,51451.0977
50100,1302000,-6098.12354,-50573.0273,51203.5
50400,1308000,-6099.36133,-50580.1602,51156.6719
50700,1314000,-6098.26416,-50692.9609,51255.0234
51000,1320000,-6099.21045,-50686.3516,51211.0391
51300,1326000,-6097.740720000001,-50791.5117,51366.168
51600,1332000,-6096.02588,-50821.3945,51389.75
51900,1338000,-6096.98682,-50765.1289,51328.4336
52200,1344000,-6099.634770000001,-50439.2539,51052.3086
52500,1350000,-6099.17871,-50508.8672,51043.0078
52800,1356000,-6100.89795,-50192.4102,50757.2422
53100,1362000,-6100.305179999999,-50301.2422,50860.9023
53400,1368000,-6100.6826200000005,-50271.8828,50903.6055
53700,1374000,-6099.509279999999,-50397.0273,51009.4141
54000,1380000,-6099.13672,-50455.9766,51035.5977
54300,1386000,-6097.728520000001,-50552.7188,51091.8281
54600,1392000,-6096.20557,-50685.043,51277.4648
54900,1398000,-6098.33936,-50654.4648,51114.9805
