,Step,H_nhc,H_nhc1,H_nhc2
0,0,-6474.83301,0.0,0.0
300,4500,-6470.24609,-112.382782,249.786987
600,9000,-6465.0151399999995,-435.85586500000005,673.127869
900,13500,-6459.398929999999,-836.359009,1057.60364
1200,18000,-6457.5249,-1231.0531,1438.57483
1500,22500,-6448.88916,-1716.2257100000002,1932.35095
1800,27000,-6439.25586,-2368.25342,2629.66528
2100,31500,-6435.93066,-2741.21558,2907.6586899999998
2400,36000,-6424.17969,-3320.8125,3634.8117700000003
2700,40500,-6424.625,-3516.40356,3702.46777
3000,45000,-6415.2124,-4001.5585899999996,4330.071779999999
3300,49500,-6409.65186,-4443.93359,4782.07373
3600,54000,-6403.96777,-5033.041020000001,5278.90186
3900,58500,-6394.677729999999,-5559.6958,5838.490229999999
4200,63000,-6389.45117,-6049.7417,6346.48438
4500,67500,-6387.05957,-6314.353520000001,6590.14844
4800,72000,-6380.90283,-6694.09277,7048.916020000001
5100,76500,-6369.94873,-7455.629390000001,7809.7514599999995
5400,81000,-6367.98682,-7582.48633,7954.87549
5700,85500,-6361.353029999999,-8156.43799,8493.58984
6000,90000,-6356.20654,-8567.80078,8851.98047
6300,94500,-6345.09521,-9256.58691,9616.52832
6600,99000,-6339.94629,-9719.74414,9979.66406
6900,103500,-6334.96338,-10055.5615,10301.5361
7200,108000,-6327.93359,-10644.2979,10955.7881
7500,112500,-6318.17188,-11307.9756,11641.4844
7800,117000,-6312.163570000001,-11824.0479,12194.5781
8100,121500,-6305.6792,-12280.1484,12637.5615
8400,126000,-6297.6084,-12778.0928,13174.3008
8700,130500,-6289.60596,-13528.9297,13857.0029
9000,135000,-6287.687010000001,-13734.0605,14092.3105
9300,139500,-6281.60596,-14195.1592,14460.3115
9600,144000,-6270.89062,-14997.874,15323.8701
9900,148500,-6266.2373,-15325.4619,15720.1484
10200,153000,-6258.58496,-15780.3457,16223.3203
10500,157500,-6248.14746,-16502.7656,16918.4043
10800,162000,-6248.35498,-16433.3008,16911.4492
11100,166500,-6246.58301,-16715.9258,17135.7617
11400,171000,-6236.45215,-17420.5547,17825.0605
11700,175500,-6226.42871,-18197.7773,18580.0176
12000,180000,-6217.48047,-18789.5938,19236.0645
12300,184500,-6210.79492,-19401.8008,19754.6699
12600,189000,-6205.1723600000005,-19833.8223,20204.5215
12900,193500,-6192.63916,-20813.6777,21274.8477
13200,198000,-6183.42188,-21344.0625,21825.2266
13500,202500,-6178.41699,-21850.2793,22230.8594
13800,207000,-6167.83057,-22431.6113,22896.8672
14100,211500,-6164.78223,-22716.0781,23272.9219
14400,216000,-6155.76172,-23425.3398,23893.0156
14700,220500,-6149.59521,-23936.5488,24416.9121
15000,225000,-6142.382320000001,-24512.3652,24949.7363
300,229500,-6139.4223600000005,-24838.4629,25284.7793
600,234000,-6135.071779999999,-25062.2207,25568.5176
900,238500,-6128.1958,-25386.877,26013.084
1200,243000,-6123.38281,-25868.7949,26378.584
1500,247500,-6112.90479,-26562.8281,27093.3262
1800,252000,-6112.969239999999,-26684.1094,27212.248
2100,256500,-6109.81787,-27047.3711,27558.5898
2400,261000,-6101.5673799999995,-27579.8184,28131.373
2700,265500,-6089.95654,-28381.2793,28924.3672
3000,270000,-6079.43555,-29063.623,29659.1719
3300,274500,-6074.875,-29495.9473,30127.6367
3600,279000,-6065.3667,-30258.2734,30783.3711
3900,283500,-6051.84473,-31146.9902,31775.1113
4200,288000,-6043.86914,-31727.2734,32310.5254
4500,292500,-6035.28516,-32414.8828,33037.0625
4800,297000,-6027.7583,-32804.6172,33488.7734
5100,301500,-6018.59229,-33397.4141,34173.7969
5400,306000,-6014.5166,-34048.2031,34642.4453
5700,310500,-6005.21729,-34688.2461,35281.8438
6000,315000,-5996.4585,-35256.6289,35935.7266
6300,319500,-5986.16016,-36147.7344,36731.2578
6600,324000,-5975.85938,-36803.8945,37435.8086
6900,328500,-5974.26318,-36887.6914,37547.5586
7200,333000,-5969.67432,-37240.7109,37946.9102
7500,337500,-5966.94971,-37640.043,38269.5625
7800,342000,-5957.8388700000005,-38040.5391,38746.8164
8100,346500,-5953.98682,-38366.4844,39074.2656
8400,351000,-5945.66455,-38974.2734,39698.8867
8700,355500,-5943.79443,-39118.168,39876.0078
9000,360000,-5936.666020000001,-39531.6562,40348.9414
9300,364500,-5934.65918,-39891.8125,40555.7852
9600,369000,-5931.3584,-40071.4844,40882.2344
9900,373500,-5927.06592,-40311.1875,41062.9961
10200,378000,-5920.49707,-40830.8711,41492.6875
10500,382500,-5912.50098,-41443.2383,42271.832
10800,387000,-5908.38916,-41794.9961,42552.4766
11100,391500,-5900.21289,-42409.5742,43205.6836
