Step,TotEng,Hs
300000.00000000000,-6474.7719699999998,-6468.4648399999996
303000.00000000000,-6475.0708000000004,-6468.4130900000000
306000.00000000000,-6475.6235399999996,-6468.5219699999998
309000.00000000000,-6474.6982399999997,-6468.2260699999997
312000.00000000000,-6474.9233400000003,-6468.4311500000003
315000.00000000000,-6474.4804700000004,-6468.4726600000004
318000.00000000000,-6474.7040999999999,-6468.3378899999998
321000.00000000000,-6475.3095700000003,-6468.3925799999997
324000.00000000000,-6474.9985399999996,-6468.4594699999998
327000.00000000000,-6475.3461900000002,-6468.4589800000003
330000.00000000000,-6475.3276400000004,-6468.3315400000001
333000.00000000000,-6475.0058600000002,-6468.4755900000000
336000.00000000000,-6474.4130900000000,-6468.2597699999997
339000.00000000000,-6475.6274400000002,-6468.3808600000002
342000.00000000000,-6474.8803699999999,-6468.4482399999997
345000.00000000000,-6475.4594699999998,-6468.3085899999996
348000.00000000000,-6475.5493200000001,-6468.4506799999999
351000.00000000000,-6475.5117200000004,-6468.4243200000001
354000.00000000000,-6475.2319299999999,-6468.5722699999997
357000.00000000000,-6475.0673800000004,-6468.4077100000004
360000.00000000000,-6475.0034200000000,-6468.2416999999996
363000.00000000000,-6476.0356400000001,-6468.4506799999999
366000.00000000000,-6475.4711900000002,-6468.3090800000000
369000.00000000000,-6474.9921899999999,-6468.3056600000000
372000.00000000000,-6475.4018599999999,-6468.3803699999999
375000.00000000000,-6475.4365200000002,-6468.3383800000001
378000.00000000000,-6475.0400399999999,-6468.4770500000004
381000.00000000000,-6474.8701199999996,-6468.2226600000004
384000.00000000000,-6475.3540000000003,-6468.4843799999999
387000.00000000000,-6474.8330100000003,-6468.3877000000002
390000.00000000000,-6474.6948199999997,-6468.3696300000001
393000.00000000000,-6476.1508800000001,-6468.2983400000003
396000.00000000000,-6475.4179700000004,-6468.3344699999998
399000.00000000000,-6475.2431600000000,-6468.2812500000000
402000.00000000000,-6475.2358400000003,-6468.3437500000000
405000.00000000000,-6475.4931600000000,-6468.3872099999999
408000.00000000000,-6474.9663099999998,-6468.4951199999996
411000.00000000000,-6475.1415999999999,-6468.3481400000001
414000.00000000000,-6476.0336900000002,-6468.5654299999997
417000.00000000000,-6475.4370099999996,-6468.4580100000003
420000.00000000000,-6475.1079099999997,-6468.4497099999999
423000.00000000000,-6475.8041999999996,-6468.2670900000003
426000.00000000000,-6474.7465800000000,-6468.3037100000001
429000.00000000000,-6475.4643599999999,-6468.2309599999999
432000.00000000000,-6475.4282199999998,-6468.4345700000003
435000.00000000000,-6475.7426800000003,-6468.5273399999996
438000.00000000000,-6475.8217800000002,-6468.4306600000000
441000.00000000000,-6475.4985399999996,-6468.4072299999998
444000.00000000000,-6475.1674800000001,-6468.3041999999996
447000.00000000000,-6474.5708000000004,-6468.4726600000004
450000.00000000000,-6475.3252000000002,-6468.6948199999997
453000.00000000000,-6476.0468799999999,-6468.4965800000000
456000.00000000000,-6474.3793900000001,-6468.2011700000003
459000.00000000000,-6474.9531200000001,-6468.2719699999998
462000.00000000000,-6475.3461900000002,-6468.3886700000003
465000.00000000000,-6474.5127000000002,-6468.3764600000004
468000.00000000000,-6475.2700199999999,-6468.5297899999996
471000.00000000000,-6475.0424800000001,-6468.4638699999996
474000.00000000000,-6474.9824200000003,-6468.4247999999998
477000.00000000000,-6473.9209000000001,-6468.3159200000000
480000.00000000000,-6474.7690400000001,-6468.3525399999999
483000.00000000000,-6475.1455100000003,-6468.3833000000004
486000.00000000000,-6475.6674800000001,-6468.4326199999996
489000.00000000000,-6474.6103499999999,-6468.4145500000004
492000.00000000000,-6476.0752000000002,-6468.5512699999999
495000.00000000000,-6475.9394499999999,-6468.2954099999997
498000.00000000000,-6474.5331999999999,-6468.3447299999998
501000.00000000000,-6475.2465800000000,-6468.3066399999998
504000.00000000000,-6474.7436500000003,-6468.3125000000000
507000.00000000000,-6475.3779299999997,-6468.4321300000001
510000.00000000000,-6475.3969699999998,-6468.2206999999999
513000.00000000000,-6474.7304700000004,-6468.3139600000004
516000.00000000000,-6476.7490200000002,-6468.4247999999998
519000.00000000000,-6474.8920900000003,-6468.3208000000004
522000.00000000000,-6474.6684599999999,-6468.2885699999997
525000.00000000000,-6474.8100599999998,-6468.3715800000000
528000.00000000000,-6475.0483400000003,-6468.5786099999996
531000.00000000000,-6475.2260699999997,-6468.5371100000002
534000.00000000000,-6475.2416999999996,-6468.1396500000001
537000.00000000000,-6475.3193400000000,-6468.3842800000002
540000.00000000000,-6474.6572299999998,-6468.2148399999996
543000.00000000000,-6474.7612300000001,-6468.3456999999999
546000.00000000000,-6475.2807599999996,-6468.2822299999998
549000.00000000000,-6475.3676800000003,-6468.4975599999998
552000.00000000000,-6475.5649400000002,-6468.4614300000003
555000.00000000000,-6474.9360399999996,-6468.3481400000001
558000.00000000000,-6475.2036099999996,-6468.5102500000003
561000.00000000000,-6474.7231400000001,-6468.4770500000004
564000.00000000000,-6474.8964800000003,-6468.4204099999997
567000.00000000000,-6474.8359399999999,-6468.3886700000003
570000.00000000000,-6475.8657199999998,-6468.5253899999998
573000.00000000000,-6474.8559599999999,-6468.3666999999996
576000.00000000000,-6475.3579099999997,-6468.3774400000002
579000.00000000000,-6474.6059599999999,-6468.3930700000001
582000.00000000000,-6474.7270500000004,-6468.4750999999997
585000.00000000000,-6475.8349600000001,-6468.5483400000003
588000.00000000000,-6475.6166999999996,-6468.3491199999999
591000.00000000000,-6475.3369100000000,-6468.4096700000000
594000.00000000000,-6475.0742200000004,-6468.4799800000001
597000.00000000000,-6474.4091799999997,-6468.3432599999996
600000.00000000000,-6475.5043900000001,-6468.5956999999999
603000.00000000000,-6475.2553699999999,-6468.4003899999998
606000.00000000000,-6475.9101600000004,-6468.5556600000000
609000.00000000000,-6475.2915000000003,-6468.4033200000003
612000.00000000000,-6474.8945299999996,-6468.4511700000003
615000.00000000000,-6475.0664100000004,-6468.4877900000001
618000.00000000000,-6474.9243200000001,-6468.3862300000001
621000.00000000000,-6474.9726600000004,-6468.3774400000002
624000.00000000000,-6475.2709999999997,-6468.2831999999999
627000.00000000000,-6475.1142600000003,-6468.2368200000001
630000.00000000000,-6474.5878899999998,-6468.4209000000001
633000.00000000000,-6475.2700199999999,-6468.5507799999996
636000.00000000000,-6475.2294899999997,-6468.3666999999996
639000.00000000000,-6475.5429700000004,-6468.5092800000002
642000.00000000000,-6475.2397499999997,-6468.3452100000004
645000.00000000000,-6475.1992200000004,-6468.3833000000004
648000.00000000000,-6474.7866199999999,-6468.3242200000004
651000.00000000000,-6475.9052700000002,-6468.4711900000002
654000.00000000000,-6475.2055700000001,-6468.2973599999996
657000.00000000000,-6474.8471700000000,-6468.3559599999999
660000.00000000000,-6475.2568400000000,-6468.5610399999996
663000.00000000000,-6474.8872099999999,-6468.4101600000004
666000.00000000000,-6475.3886700000003,-6468.4931600000000
669000.00000000000,-6475.4638699999996,-6468.5375999999997
672000.00000000000,-6475.5415000000003,-6468.3408200000003
675000.00000000000,-6475.7665999999999,-6468.4389600000004
678000.00000000000,-6474.8261700000003,-6468.4135699999997
681000.00000000000,-6475.4858400000003,-6468.3349600000001
684000.00000000000,-6474.4008800000001,-6468.4716799999997
687000.00000000000,-6474.5717800000002,-6468.1523399999996
690000.00000000000,-6474.9125999999997,-6468.3242200000004
693000.00000000000,-6475.3837899999999,-6468.4619100000000
696000.00000000000,-6474.5268599999999,-6468.1889600000004
699000.00000000000,-6474.8593799999999,-6468.3818400000000
702000.00000000000,-6475.4125999999997,-6468.4540999999999
705000.00000000000,-6475.3955100000003,-6468.4062500000000
708000.00000000000,-6475.6572299999998,-6468.4150399999999
711000.00000000000,-6475.6259799999998,-6468.3603499999999
714000.00000000000,-6474.5283200000003,-6468.4067400000004
717000.00000000000,-6475.5800799999997,-6468.3940400000001
720000.00000000000,-6476.1635699999997,-6468.5893599999999
723000.00000000000,-6475.1630900000000,-6468.2763699999996
726000.00000000000,-6475.6093799999999,-6468.2665999999999
729000.00000000000,-6475.0317400000004,-6468.2583000000004
732000.00000000000,-6475.2177700000002,-6468.4375000000000
735000.00000000000,-6475.0263699999996,-6468.3686500000003
738000.00000000000,-6474.5375999999997,-6468.3881799999999
741000.00000000000,-6474.3290999999999,-6468.4721700000000
744000.00000000000,-6475.3452100000004,-6468.4370099999996
747000.00000000000,-6474.7768599999999,-6468.2768599999999
750000.00000000000,-6475.0439500000002,-6468.5327100000004
753000.00000000000,-6474.5615200000002,-6468.3662100000001
756000.00000000000,-6475.3774400000002,-6468.2148399999996
759000.00000000000,-6475.2607399999997,-6468.4379900000004
762000.00000000000,-6475.7265600000001,-6468.4394499999999
765000.00000000000,-6475.0893599999999,-6468.1875000000000
768000.00000000000,-6473.7617200000004,-6468.2573199999997
771000.00000000000,-6475.1699200000003,-6468.4755900000000
774000.00000000000,-6474.9003899999998,-6468.3686500000003
777000.00000000000,-6475.2983400000003,-6468.3139600000004
780000.00000000000,-6475.4921899999999,-6468.3984399999999
783000.00000000000,-6474.5478499999999,-6468.3608400000003
786000.00000000000,-6475.7177700000002,-6468.3637699999999
789000.00000000000,-6475.0356400000001,-6468.2919899999997
792000.00000000000,-6474.6103499999999,-6468.2460899999996
795000.00000000000,-6474.9326199999996,-6468.3334999999997
798000.00000000000,-6475.2441399999998,-6468.2080100000003
801000.00000000000,-6474.7490200000002,-6468.2553699999999
804000.00000000000,-6474.5878899999998,-6468.3178699999999
807000.00000000000,-6475.9121100000002,-6468.3095700000003
810000.00000000000,-6474.7836900000002,-6468.3198199999997
813000.00000000000,-6475.4848599999996,-6468.3789100000004
816000.00000000000,-6474.2163099999998,-6468.1713900000004
819000.00000000000,-6475.3837899999999,-6468.4370099999996
