,Step,H_nhc,H_nhc1,H_nhc2
0,0,-6474.83301,0.0,0.0
300,18000,-6474.80664,185.184906,25.111110699999998
600,36000,-6475.0673799999995,387.57080099999996,-199.04046599999998
900,54000,-6474.896,255.355911,-43.541671799999996
1200,72000,-6475.10498,421.362305,-216.769516
1500,90000,-6474.71289,22.0480728,107.896721
1800,108000,-6474.82715,-60.7055969,70.7929688
2100,126000,-6474.66406,-91.0242615,302.161652
2400,144000,-6474.89551,214.864792,-12.173415199999999
2700,162000,-6475.17578,398.444946,-299.04098500000003
3000,180000,-6474.85156,110.10302,88.1910324
3300,198000,-6474.6167,-225.772858,361.465698
3600,216000,-6474.771970000001,-108.33578500000002,223.50617999999997
3900,234000,-6474.72314,-195.835266,260.90472400000004
4200,252000,-6474.740720000001,-44.286808,193.437698
4500,270000,-6474.8833,139.61369299999998,4.847785
4800,288000,-6474.73682,30.713441800000002,75.07040409999999
5100,306000,-6474.55811,-132.99179099999998,353.694183
5400,324000,-6474.66406,-238.47135899999998,336.17984
5700,342000,-6474.72021,2.25155067,159.549149
6000,360000,-6474.67725,-56.961193099999996,281.837769
6300,378000,-6474.80176,70.9637985,106.19310800000001
6600,396000,-6474.944820000001,69.0790482,25.4854355
6900,414000,-6474.916020000001,6.06856966,125.16790800000001
7200,432000,-6474.72656,-97.0387192,238.31660499999998
7500,450000,-6474.93652,58.6989899,56.557064100000005
7800,468000,-6474.68213,-292.315948,361.935394
8100,486000,-6474.5791,-303.890015,337.401245
8400,504000,-6474.23145,-600.0994870000001,800.728577
8700,522000,-6474.46289,-621.455994,726.5401
9000,540000,-6474.322270000001,-618.458435,798.113525
9300,558000,-6474.64844,-253.607864,387.740326
9600,576000,-6474.2334,-744.738586,900.187378
9900,594000,-6474.12158,-711.050171,928.528992
10200,612000,-6474.22705,-832.000183,942.4925539999999
10500,630000,-6474.19971,-727.460388,836.726135
10800,648000,-6474.23242,-681.595337,785.212891
11100,666000,-6474.2373,-765.546448,830.7634889999999
11400,684000,-6473.87305,-1107.9502,1273.44751
11700,702000,-6473.80371,-1307.50476,1407.86865
12000,720000,-6473.773929999999,-1409.15515,1477.32935
12300,738000,-6473.76562,-1223.14478,1371.5824
12600,756000,-6473.56934,-1608.03088,1733.15942
12900,774000,-6473.23242,-1915.3923300000001,2016.86975
13200,792000,-6473.25879,-1898.47095,2056.62183
13500,810000,-6472.8916,-2251.79688,2435.37769
13800,828000,-6472.79541,-2272.17896,2437.11182
14100,846000,-6473.10205,-1999.41052,2222.0585899999996
14400,864000,-6473.15186,-1972.5556600000002,2049.46802
14700,882000,-6473.3374,-1806.5800800000002,2005.8808600000002
15000,900000,-6473.57666,-1528.13477,1627.92371
300,918000,-6473.4292,-1565.80725,1694.0336899999998
600,936000,-6473.54443,-1563.9777800000002,1722.9772899999998
900,954000,-6473.10547,-1926.65674,2123.34937
1200,972000,-6473.32715,-1851.33728,1962.39038
1500,990000,-6473.35938,-2023.2127699999999,2041.8494899999998
1800,1008000,-6473.437010000001,-1807.23877,1921.8013899999999
2100,1026000,-6473.32715,-1987.4158899999998,2119.03955
2400,1044000,-6472.8916,-2462.4641100000003,2549.3413100000002
2700,1062000,-6472.93896,-2373.60645,2487.7439
3000,1080000,-6472.913570000001,-2465.46997,2506.7851600000004
3300,1098000,-6472.5473600000005,-2926.2146,2969.5588399999997
3600,1116000,-6472.44141,-2920.34082,3137.63062
