Step,TotEng,Hs
225000.00000000000,-6473.2490200000002,-6463.2329099999997
227250.00000000000,-6474.6581999999999,-6463.0771500000001
229500.00000000000,-6475.0053699999999,-6463.1191399999998
231750.00000000000,-6474.6596700000000,-6463.4555700000001
234000.00000000000,-6474.5898399999996,-6463.2875999999997
236250.00000000000,-6475.9990200000002,-6463.4091799999997
238500.00000000000,-6474.1411099999996,-6463.1879900000004
240750.00000000000,-6474.8164100000004,-6462.9458000000004
243000.00000000000,-6475.0244100000000,-6463.1206099999999
245250.00000000000,-6474.0200199999999,-6463.4018599999999
247500.00000000000,-6474.9653300000000,-6463.4638699999996
249750.00000000000,-6473.8676800000003,-6463.4423800000004
252000.00000000000,-6475.1240200000002,-6463.2578100000001
254250.00000000000,-6473.8994100000000,-6463.3681600000000
256500.00000000000,-6475.0693400000000,-6463.4794899999997
258750.00000000000,-6476.0063499999997,-6463.4511700000003
261000.00000000000,-6474.4750999999997,-6462.8745099999996
263250.00000000000,-6474.8681600000000,-6463.4008800000001
265500.00000000000,-6474.7905300000002,-6463.5092800000002
267750.00000000000,-6474.7021500000001,-6463.3383800000001
270000.00000000000,-6477.0419899999997,-6463.5209999999997
272250.00000000000,-6475.6777300000003,-6463.4824200000003
274500.00000000000,-6474.5312500000000,-6463.3930700000001
276750.00000000000,-6475.3984399999999,-6463.1459999999997
279000.00000000000,-6475.5107399999997,-6463.6494100000000
281250.00000000000,-6475.4189500000002,-6463.7382799999996
283500.00000000000,-6474.9731400000001,-6463.5776400000004
285750.00000000000,-6474.5249000000003,-6463.5136700000003
288000.00000000000,-6475.6982399999997,-6463.3691399999998
290250.00000000000,-6475.4150399999999,-6463.5205100000003
292500.00000000000,-6473.4511700000003,-6463.4697299999998
294750.00000000000,-6476.2265600000001,-6463.8149400000002
297000.00000000000,-6474.6747999999998,-6463.2797899999996
299250.00000000000,-6474.0698199999997,-6463.5019499999999
301500.00000000000,-6476.0302700000002,-6463.6035199999997
303750.00000000000,-6475.5903300000000,-6463.5947299999998
306000.00000000000,-6476.1269499999999,-6463.8173800000004
308250.00000000000,-6476.1831099999999,-6463.5297899999996
310500.00000000000,-6474.2104499999996,-6463.6274400000002
312750.00000000000,-6474.2973599999996,-6463.3877000000002
